symbol,trade_mode,in_market_watch,category
AUDUSD,CLOSEONLY,1,FX Majors
EURUSD,CLOSEONLY,1,FX Majors
GBPUSD,CLOSEONLY,1,FX Majors
NZDUSD,CLOSEONLY,0,FX Majors
USDCAD,CLOSEONLY,1,FX Majors
USDCHF,CLOSEONLY,0,FX Majors
USDJPY,CLOSEONLY,1,FX Majors
AUDUSD.m,CLOSEONLY,0,FX Majors
EURUSD.m,CLOSEONLY,0,FX Majors
GBPUSD.m,CLOSEONLY,0,FX Majors
NZDUSD.m,CLOSEONLY,0,FX Majors
USDCAD.m,CLOSEONLY,0,FX Majors
USDCHF.m,CLOSEONLY,0,FX Majors
USDJPY.m,CLOSEONLY,0,FX Majors
AUDCAD,CLOSEONLY,0,FX Crosses
AUDCHF,CLOSEONLY,0,FX Crosses
AUDJPY,CLOSEONLY,0,FX Crosses
AUDNZD,CLOSEONLY,0,FX Crosses
CADCHF,CLOSEONLY,0,FX Crosses
CADJPY,CLOSEONLY,1,FX Crosses
CHFJPY,CLOSEONLY,0,FX Crosses
EURAUD,CLOSEONLY,0,FX Crosses
EURCAD,CLOSEONLY,0,FX Crosses
EURCHF,CLOSEONLY,0,FX Crosses
EURGBP,CLOSEONLY,1,FX Crosses
EURJPY,CLOSEONLY,1,FX Crosses
EURNZD,CLOSEONLY,0,FX Crosses
GBPAUD,CLOSEONLY,0,FX Crosses
GBPCAD,CLOSEONLY,1,FX Crosses
GBPCHF,CLOSEONLY,0,FX Crosses
GBPJPY,CLOSEONLY,1,FX Crosses
GBPNZD,CLOSEONLY,0,FX Crosses
NZDCAD,CLOSEONLY,0,FX Crosses
NZDCHF,CLOSEONLY,0,FX Crosses
NZDJPY,CLOSEONLY,0,FX Crosses
EURPLN,CLOSEONLY,0,FX Crosses
USDPLN,CLOSEONLY,0,FX Crosses
CHFSGD,CLOSEONLY,0,FX Exotics
EURMXN,CLOSEONLY,0,FX Exotics
EURNOK,CLOSEONLY,0,FX Exotics
EURSEK,CLOSEONLY,0,FX Exotics
EURSGD,CLOSEONLY,0,FX Exotics
GBPSEK,CLOSEONLY,0,FX Exotics
NOKJPY,CLOSEONLY,0,FX Exotics
SGDJPY,CLOSEONLY,0,FX Exotics
USDCLP,CLOSEONLY,0,FX Exotics
USDDKK,CLOSEONLY,0,FX Exotics
USDMXN,CLOSEONLY,0,FX Exotics
USDNOK,CLOSEONLY,0,FX Exotics
USDSEK,CLOSEONLY,0,FX Exotics
USDSGD,CLOSEONLY,0,FX Exotics
USDTRY,CLOSEONLY,0,FX Exotics
USDZAR,CLOSEONLY,0,FX Exotics
USDCNH,CLOSEONLY,0,FX Exotics
EURTRY,CLOSEONLY,0,FX Exotics
EURCNH,CLOSEONLY,0,FX Exotics
XAGUSD,CLOSEONLY,0,Spot Metals
XAUUSD,CLOSEONLY,1,Spot Metals
XAUEUR,CLOSEONLY,0,Spot Metals
XAUUSD.m,CLOSEONLY,0,Spot Metals
XAUXAG,CLOSEONLY,0,Spot Metals
BTCUSD,CLOSEONLY,1,Crypto
LTCUSD,CLOSEONLY,0,Crypto
ETHUSD,CLOSEONLY,0,Crypto
BTCEUR,CLOSEONLY,0,Crypto
BCHUSD,CLOSEONLY,0,Crypto
DSHUSD,CLOSEONLY,0,Crypto
XRPUSD,CLOSEONLY,0,Crypto
ETCUSD,CLOSEONLY,0,Crypto
NEOUSD,CLOSEONLY,0,Crypto
XMRUSD,CLOSEONLY,0,Crypto
ZECUSD,CLOSEONLY,0,Crypto
OMGUSD,CLOSEONLY,0,Crypto
IOTUSD,CLOSEONLY,0,Crypto
QTMUSD,CLOSEONLY,0,Crypto
XMRBTC,CLOSEONLY,0,Crypto
ZECBTC,CLOSEONLY,0,Crypto
BTGUSD,CLOSEONLY,0,Crypto
BCHBTC,CLOSEONLY,0,Crypto
ETHBTC,CLOSEONLY,0,Crypto
LTCBTC,CLOSEONLY,1,Crypto
BTGBTC,CLOSEONLY,0,Crypto
BTGETH,CLOSEONLY,0,Crypto
DSHBTC,CLOSEONLY,0,Crypto
DSHETH,CLOSEONLY,0,Crypto
EOSETH,CLOSEONLY,0,Crypto
ETCETH,CLOSEONLY,0,Crypto
IOTETH,CLOSEONLY,0,Crypto
LTCETH,CLOSEONLY,0,Crypto
NEOBTC,CLOSEONLY,0,Crypto
NEOETH,CLOSEONLY,0,Crypto
OMGETH,CLOSEONLY,0,Crypto
QTMETH,CLOSEONLY,0,Crypto
XMRETH,CLOSEONLY,0,Crypto
ZECETH,CLOSEONLY,0,Crypto
EOSUSD,CLOSEONLY,0,Crypto
ADAUSD,CLOSEONLY,0,Crypto
XEMUSD,CLOSEONLY,0,Crypto
XLMUSD,CLOSEONLY,0,Crypto
TRXUSD,CLOSEONLY,0,Crypto
XTZUSD,CLOSEONLY,0,Crypto
LNKUSD,CLOSEONLY,0,Crypto
ATMUSD,CLOSEONLY,0,Crypto
MKRUSD,CLOSEONLY,0,Crypto
ONTUSD,CLOSEONLY,0,Crypto
DOGUSD,CLOSEONLY,0,Crypto
CMPUSD,CLOSEONLY,0,Crypto
DOTUSD,CLOSEONLY,0,Crypto
ICPUSD,CLOSEONLY,0,Crypto
MTCUSD,CLOSEONLY,0,Crypto
SBAUSD,CLOSEONLY,0,Crypto
SNXUSD,CLOSEONLY,0,Crypto
SOLUSD,CLOSEONLY,0,Crypto
UNIUSD,CLOSEONLY,0,Crypto
