symbol,trade_mode,in_market_watch,category
AF,FULL,0,Stocks Consumer Services
AMC,FULL,0,Stocks Consumer Services
Alibaba,FULL,0,Stocks Consumer Services
CCL,FULL,0,Stocks Consumer Services
Disney,CLOSEONLY,0,Stocks Consumer Services
Home_Depot,FULL,0,Stocks Consumer Services
LTM,FULL,0,Stocks Consumer Services
LUV,FULL,0,Stocks Consumer Services
LYFT,FULL,0,Stocks Consumer Services
McDonald,FULL,0,Stocks Consumer Services
NCLH,FULL,0,Stocks Consumer Services
Nintendo_US,DISABLED,0,Stocks Consumer Services
RCL,FULL,0,Stocks Consumer Services
RYAAY,FULL,0,Stocks Consumer Services
Starbucks,FULL,0,Stocks Consumer Services
TUI,FULL,0,Stocks Consumer Services
TripAdvisor,FULL,0,Stocks Consumer Services
UBER,FULL,0,Stocks Consumer Services
WYNN,FULL,0,Stocks Consumer Services
eBay,FULL,0,Stocks Consumer Services
EC,FULL,0,Stocks Energy
EDF,CLOSEONLY,0,Stocks Energy
ENEL,FULL,0,Stocks Energy
ENI,FULL,0,Stocks Energy
ENIC,FULL,0,Stocks Energy
Exxon,FULL,0,Stocks Energy
Petrobras,FULL,0,Stocks Energy
REP,FULL,0,Stocks Energy
TTE,DISABLED,0,Stocks Energy
American_Express,FULL,0,Stocks Finance
BBVA,CLOSEONLY,0,Stocks Finance
BNP,FULL,0,Stocks Finance
Banco_Santander,FULL,0,Stocks Finance
Bank_of_America,FULL,0,Stocks Finance
CIB,FULL,0,Stocks Finance
COIN,FULL,0,Stocks Finance
Citigroup,FULL,0,Stocks Finance
Deutsche_Bank,FULL,0,Stocks Finance
GBTC,FULL,0,Stocks Finance
Goldman_Sachs,FULL,0,Stocks Finance
HOOD,FULL,0,Stocks Finance
IDCB,DISABLED,0,Stocks Finance
JPMorgan,FULL,0,Stocks Finance
MARA,FULL,0,Stocks Finance
MELI,FULL,0,Stocks Finance
Mastercard,FULL,0,Stocks Finance
Travelers,FULL,0,Stocks Finance
Visa,FULL,0,Stocks Finance
Wells_Fargo,FULL,0,Stocks Finance
Bayer,FULL,0,Stocks Healthcare
GILD,FULL,0,Stocks Healthcare
Johnson&Johnson,FULL,0,Stocks Healthcare
MRNA,FULL,0,Stocks Healthcare
Pfizer,FULL,0,Stocks Healthcare
UnitedHealth,FULL,0,Stocks Healthcare
AIR,FULL,0,Stocks Industrials
BAS,FULL,0,Stocks Industrials
Boeing,FULL,0,Stocks Industrials
CX,FULL,0,Stocks Industrials
Caterpillar,FULL,0,Stocks Industrials
General_Electrics,FULL,0,Stocks Industrials
Estee_Lauder,FULL,0,Stocks Luxury
Ethan_Allen,FULL,0,Stocks Luxury
Michael_Kors,FULL,0,Stocks Luxury
PVH,FULL,0,Stocks Luxury
Ralph_Lauren,FULL,0,Stocks Luxury
VF,FULL,0,Stocks Luxury
Williams_Sonoma,FULL,0,Stocks Luxury
Alcoa,FULL,0,Stocks Materials
SQM,FULL,0,Stocks Materials
Vale,FULL,0,Stocks Materials
Adobe,FULL,0,Stocks Technologies
Amazon,FULL,0,Stocks Technologies
Apple,FULL,0,Stocks Technologies
Baidu,FULL,0,Stocks Technologies
Cisco,FULL,0,Stocks Technologies
DG,FULL,0,Stocks Technologies
Dropbox,FULL,0,Stocks Technologies
GTLB,FULL,0,Stocks Technologies
Google,FULL,0,Stocks Technologies
Hewlett_Packard,FULL,0,Stocks Technologies
IBM,FULL,0,Stocks Technologies
Intel,FULL,0,Stocks Technologies
Lenovo,DISABLED,0,Stocks Technologies
META,FULL,0,Stocks Technologies
MNTV,CLOSEONLY,0,Stocks Technologies
Microsoft,FULL,0,Stocks Technologies
Netflix,FULL,0,Stocks Technologies
Oracle,FULL,0,Stocks Technologies
PINS,FULL,0,Stocks Technologies
SAP,FULL,0,Stocks Technologies
SIE,CLOSEONLY,0,Stocks Technologies
Salesforce,FULL,0,Stocks Technologies
Snap,FULL,0,Stocks Technologies
Spotify,FULL,0,Stocks Technologies
Tencent,DISABLED,0,Stocks Technologies
nVidia,FULL,0,Stocks Technologies
AMX,CLOSEONLY,0,Stocks Telecommunications
AT&T,FULL,0,Stocks Telecommunications
Verizon,FULL,0,Stocks Telecommunications
Vodafone,FULL,0,Stocks Telecommunications
AGG,FULL,0,ETF
EWG,FULL,0,ETF
EWU,FULL,0,ETF
EWW,FULL,0,ETF
EWZ,FULL,0,ETF
FXI,FULL,0,ETF
IJH,CLOSEONLY,0,ETF
ILF,FULL,0,ETF
SPY,FULL,0,ETF
VGK,FULL,0,ETF
USDX,FULL,0,FX USD Index
JUVE,FULL,0,Stocks Sport
AUS200Cash,DISABLED,0,Indices Other
AUDUSD.m,FULL,0,FX Majors
EURUSD.m,FULL,0,FX Majors
GBPUSD.m,FULL,0,FX Majors
NZDUSD.m,FULL,0,FX Majors
USDCAD.m,FULL,0,FX Majors
USDCHF.m,FULL,0,FX Majors
USDJPY.m,FULL,0,FX Majors
XAUUSD.m,FULL,0,Spot Metals
