symbol,trade_mode,in_market_watch,category
ZECUSD,FULL,0,Crypto
OMGUSD,CLOSEONLY,0,Crypto
IOTUSD,FULL,0,Crypto
QTMUSD,FULL,0,Crypto
XMRBTC,DISABLED,0,Crypto
ZECBTC,DISABLED,0,Crypto
BTGUSD,DISABLED,0,Crypto
BCHBTC,FULL,0,Crypto
ETHBTC,FULL,0,Crypto
LTCBTC,FULL,0,Crypto
BTGBTC,DISABLED,0,Crypto
BTGETH,DISABLED,0,Crypto
DSHBTC,DISABLED,0,Crypto
DSHETH,DISABLED,0,Crypto
EOSETH,DISABLED,0,Crypto
ETCETH,DISABLED,0,Crypto
IOTETH,CLOSEONLY,0,Crypto
LTCETH,FULL,0,Crypto
NEOBTC,DISABLED,0,Crypto
NEOETH,DISABLED,0,Crypto
OMGETH,DISABLED,0,Crypto
QTMETH,DISABLED,0,Crypto
USDTRY,CLOSEONLY,0,FX Exotics
USDZAR,CLOSEONLY,0,FX Exotics
XMRETH,DISABLED,0,Crypto
ZECETH,DISABLED,0,Crypto
EOSUSD,DISABLED,0,Crypto
USDCNH,FULL,0,FX Exotics
EURTRY,CLOSEONLY,0,FX Exotics
EURCNH,FULL,0,FX Exotics
SPY,FULL,0,ETF
IJH,CLOSEONLY,0,ETF
FXI,FULL,0,ETF
EWG,FULL,0,ETF
VGK,FULL,0,ETF
ILF,FULL,0,ETF
EWW,FULL,0,ETF
EWZ,FULL,0,ETF
AGG,FULL,0,ETF
EWU,FULL,0,ETF
USDX,FULL,0,FX USD Index
ADAUSD,FULL,0,Crypto
XEMUSD,DISABLED,0,Crypto
XLMUSD,FULL,0,Crypto
TRXUSD,FULL,0,Crypto
TA35,DISABLED,0,Indices Near East
JUVE,FULL,0,Stocks Sport
LYFT,FULL,0,Stocks Consumer Services
EDF,CLOSEONLY,0,Stocks Energy
ENEL,FULL,0,Stocks Energy
REP,FULL,0,Stocks Energy
BAS,FULL,0,Stocks Industrials
DG,FULL,0,Stocks Technologies
SAP,FULL,0,Stocks Technologies
SIE,FULL,0,Stocks Technologies
UBER,FULL,0,Stocks Consumer Services
PINS,FULL,0,Stocks Technologies
RNO,FULL,0,Stocks Automobile industries
LTM,FULL,0,Stocks Consumer Services
ENIC,FULL,0,Stocks Energy
BNP,FULL,0,Stocks Finance
AIR,FULL,0,Stocks Industrials
SK,DISABLED,0,Stocks Technologies
MRNA,FULL,0,Stocks Healthcare
GILD,FULL,0,Stocks Healthcare
XTZUSD,FULL,0,Crypto
LNKUSD,FULL,0,Crypto
ATMUSD,FULL,0,Crypto
MKRUSD,DISABLED,0,Crypto
ONTUSD,FULL,0,Crypto
ESCash,FULL,0,Indices US
FDAXCash,FULL,0,Indices Europe
YMCash,FULL,0,Indices US
LUV,FULL,0,Stocks Consumer Services
TUI,CLOSEONLY,0,Stocks Consumer Services
